,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
4070,Essendon,1/247 Keilor Rd,3,t,750000,VB,Brad,18/06/2016,8,3040,3,1,1,253,145,1997,Moonee Valley City Council,-37.7397,144.898,Western Metropolitan,9264
4071,Essendon,4/26 Richardson St,3,t,965000,S,Frank,18/06/2016,8,3040,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
4072,Essendon,3/7 Violet St,2,u,390000,VB,Nelson,18/06/2016,8,3040,2,1,1,0,66,1970,Moonee Valley City Council,-37.7554,144.9127,Western Metropolitan,9264
4073,Essendon,4/10 Ardoch St,2,u,453000,S,Nelson,19/11/2016,8,3040,2,1,1,0,,,Moonee Valley City Council,-37.7494,144.921,Western Metropolitan,9264
4074,Essendon,2/1 Forrester St,2,u,420000,S,Brad,19/11/2016,8,3040,2,1,1,,,,Moonee Valley City Council,-37.7535,144.9068,Western Metropolitan,9264
4075,Essendon,1/16 Leake St,4,u,1170000,SP,Barry,19/11/2016,8,3040,4,2,2,0,180,2013,Moonee Valley City Council,-37.7465,144.91,Western Metropolitan,9264
4076,Essendon,55 Lincoln Rd,4,h,1600000,SP,Brad,19/11/2016,8,3040,4,3,1,519,218,1930,Moonee Valley City Council,-37.7517,144.9086,Western Metropolitan,9264
4077,Essendon,33 McCarron Pde,4,h,1535000,SP,Nelson,19/11/2016,8,3040,4,1,2,638,227,1900,Moonee Valley City Council,-37.7523,144.9052,Western Metropolitan,9264
4079,Essendon,22 Wheeler Pl,3,h,1400000,SP,Nelson,19/11/2016,8,3040,3,2,2,383,,,Moonee Valley City Council,-37.7565,144.9241,Western Metropolitan,9264
4080,Essendon,4/20 William St,2,u,435000,S,Nelson,19/11/2016,8,3040,2,1,1,0,66,1970,Moonee Valley City Council,-37.7461,144.9079,Western Metropolitan,9264
4082,Essendon,115 Fawkner St,2,h,1255000,S,Paul,22/05/2016,8,3040,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
4083,Essendon,1/37 Grice Cr,2,u,370000,S,Considine,22/05/2016,8,3040,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
4085,Essendon,7/18 Raleigh St,2,u,457000,S,Barry,22/08/2016,8,3040,2,1,1,0,,,Moonee Valley City Council,-37.7534,144.9242,Western Metropolitan,9264
4086,Essendon,22 Tweedside St,3,h,1460000,S,Paul,22/08/2016,8,3040,3,2,1,605,138,1920,Moonee Valley City Council,-37.7546,144.9042,Western Metropolitan,9264
4087,Essendon,1/15 Gilbertson St,2,u,736000,S,Nelson,23/04/2016,8,3040,2,1,1,0,106,1940,Moonee Valley City Council,-37.7412,144.8974,Western Metropolitan,9264
4088,Essendon,3/136 Hoffmans Rd,2,u,405000,S,Nelson,24/09/2016,8,3040,2,1,1,121,,1970,Moonee Valley City Council,-37.7401,144.8923,Western Metropolitan,9264
4089,Essendon,5/12 Schofield St,2,u,450000,SP,Brad,24/09/2016,8,3040,2,1,1,0,65,1970,Moonee Valley City Council,-37.745,144.915,Western Metropolitan,9264
4090,Essendon,1/35 William St,2,u,740000,S,Nelson,24/09/2016,8,3040,2,1,1,250,104,1988,Moonee Valley City Council,-37.7457,144.9061,Western Metropolitan,9264
4092,Essendon,1/19 Cameron Rd,2,u,691000,SP,Brad,25/02/2017,8,3040,2,1,1,201,80,1995,Moonee Valley City Council,-37.7454,144.928,Western Metropolitan,9264
4093,Essendon,8/19 Fletcher St,2,u,370000,VB,Rendina,25/02/2017,8,3040,2,1,0,0,,,Moonee Valley City Council,-37.7558,144.9233,Western Metropolitan,9264
4095,Essendon,18 Lorraine St,4,h,2355000,S,McDonald,25/02/2017,8,3040,4,2,3,715,273,1920,Moonee Valley City Council,-37.7582,144.9128,Western Metropolitan,9264
4096,Essendon,23 MacKay St,2,h,1255000,S,Brad,25/02/2017,8,3040,2,1,1,0,,,Moonee Valley City Council,-37.7488,144.9165,Western Metropolitan,9264
4097,Essendon,154 Spencer St,4,h,1560000,S,Barry,25/02/2017,8,3040,4,1,2,650,,1950,Moonee Valley City Council,-37.7452,144.8941,Western Metropolitan,9264
4099,Essendon,8 Buckley St,3,h,1330000,S,Barry,26/07/2016,8,3040,3,1,4,687,,,Moonee Valley City Council,-37.7585,144.9316,Western Metropolitan,9264
4100,Essendon,31 Graves St,3,h,1625000,S,Nelson,26/07/2016,8,3040,3,2,1,858,165,1938,Moonee Valley City Council,-37.7417,144.8961,Western Metropolitan,9264
4101,Essendon,7 Hilda St,3,h,1150000,S,Paul,26/07/2016,8,3040,3,1,0,300,145,1900,Moonee Valley City Council,-37.7548,144.9315,Western Metropolitan,9264
4102,Essendon,56a Bradshaw St,5,h,1560000,PI,Nelson,27/06/2016,8,3040,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
4103,Essendon,43a Deakin St,3,t,787000,S,Barry,27/06/2016,8,3040,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
4105,Essendon,47 Hoddle St,3,h,1085000,S,Barry,27/06/2016,8,3040,3,1,1,325,,,Moonee Valley City Council,-37.7525,144.9232,Western Metropolitan,9264
4106,Essendon,9 Mountain St,6,h,1800000,VB,Joe,27/06/2016,8,3040,7,2,2,870,,,Moonee Valley City Council,-37.7517,144.9018,Western Metropolitan,9264
4107,Essendon,8/30 Nicholson St,2,u,360000,VB,Nelson,27/06/2016,8,3040,2,1,1,0,68,1970,Moonee Valley City Council,-37.754,144.9209,Western Metropolitan,9264
4108,Essendon,2/67 Nimmo St,2,u,645000,SP,Nelson,27/06/2016,8,3040,2,1,1,170,88,1994,Moonee Valley City Council,-37.7475,144.8959,Western Metropolitan,9264
4109,Essendon,7/5 Queen St,2,t,520000,VB,Nelson,27/06/2016,8,3040,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
4110,Essendon,8/15 Shaftesbury St,1,u,250000,VB,Brad,27/06/2016,8,3040,1,1,1,0,125,1970,Moonee Valley City Council,-37.7523,144.9221,Western Metropolitan,9264
4111,Essendon,16 Cliff St,3,h,1630000,S,Nelson,27/11/2016,8,3040,3,2,2,563,,,Moonee Valley City Council,-37.7579,144.9114,Western Metropolitan,9264
4112,Essendon,10 Deakin St,3,h,850000,PI,Hodges,27/11/2016,8,3040,3,2,1,580,,,Moonee Valley City Council,-37.753,144.891,Western Metropolitan,9264
4113,Essendon,2/7 Graves St,3,u,872000,S,Nelson,27/11/2016,8,3040,3,1,1,862,135,1970,Moonee Valley City Council,-37.7399,144.8964,Western Metropolitan,9264
4114,Essendon,71A Price St,3,t,935000,PI,Alexkarbon,27/11/2016,8,3040,3,2,2,247,,,Moonee Valley City Council,-37.7462,144.8949,Western Metropolitan,9264
4115,Essendon,1/1 Thomson St,2,u,630000,S,Nelson,27/11/2016,8,3040,2,1,1,0,83,1975,Moonee Valley City Council,-37.7543,144.9066,Western Metropolitan,9264
4116,Essendon,5/8 Violet St,2,u,440000,S,Brad,27/11/2016,8,3040,2,1,1,1011,77,1970,Moonee Valley City Council,-37.7556,144.9132,Western Metropolitan,9264
4117,Essendon,18 Washington St,5,h,1811000,S,Nelson,27/11/2016,8,3040,5,3,2,657,284,1930,Moonee Valley City Council,-37.7548,144.9098,Western Metropolitan,9264
4118,Essendon,31 Elder Pde,3,h,1500000,PI,Red,28/05/2016,8,3040,3,2,3,440,190,1930,Moonee Valley City Council,-37.7524,144.9074,Western Metropolitan,9264
4121,Essendon,118a Ogilvie St,3,t,925000,VB,Nelson,28/05/2016,8,3040,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
4122,Essendon,5 Raleigh St,3,h,1290000,S,Nelson,28/05/2016,8,3040,3,1,2,605,,,Moonee Valley City Council,-37.7541,144.9265,Western Metropolitan,9264
4123,Essendon,1/26 Richardson St,3,t,1275000,SP,Frank,28/05/2016,8,3040,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
4125,Essendon,15 Wright St,3,h,1045000,S,Nelson,28/05/2016,8,3040,3,1,1,429,,,Moonee Valley City Council,-37.7453,144.9183,Western Metropolitan,9264
4126,Essendon,38 Alfred Rd,3,h,1290000,S,Nelson,28/08/2016,8,3040,3,1,1,618,132,1960,Moonee Valley City Council,-37.7442,144.9249,Western Metropolitan,9264
4128,Essendon,95 Bradshaw St,2,h,953000,S,Nelson,28/08/2016,8,3040,2,1,1,414,,,Moonee Valley City Council,-37.7466,144.8941,Western Metropolitan,9264
4129,Essendon,118 Buckley St,3,h,1100000,PI,Raine,28/08/2016,8,3040,3,1,2,0,700,1915,Moonee Valley City Council,-37.7566,144.9155,Western Metropolitan,9264
4130,Essendon,1/52 Elder Pde,3,u,820000,S,Nelson,28/08/2016,8,3040,3,1,1,0,,,Moonee Valley City Council,-37.752,144.9079,Western Metropolitan,9264
4131,Essendon,5 Loeman St,4,h,1270000,PI,Nelson,28/08/2016,8,3040,3,2,2,411,266,1996,Moonee Valley City Council,-37.757,144.9251,Western Metropolitan,9264
4132,Essendon,21 Miller St,3,h,1445000,S,Nelson,28/08/2016,8,3040,3,2,1,400,168,1910,Moonee Valley City Council,-37.7542,144.9117,Western Metropolitan,9264
4133,Essendon,33 Ogilvie St,4,h,1113000,S,Brad,28/08/2016,8,3040,3,1,2,533,127,1950,Moonee Valley City Council,-37.7509,144.8922,Western Metropolitan,9264
4134,Essendon,4/11 Spencer St,2,u,370000,VB,Barry,28/08/2016,8,3040,2,1,1,0,59,1960,Moonee Valley City Council,-37.7482,144.908,Western Metropolitan,9264
4135,Essendon,1 Braemar St,3,h,1505000,S,Jellis,30/07/2016,8,3040,3,2,2,625,,,Moonee Valley City Council,-37.7489,144.9073,Western Metropolitan,9264
4136,Essendon,6/7 Schofield St,2,t,590000,S,Brad,30/07/2016,8,3040,2,1,1,0,,1970,Moonee Valley City Council,-37.7451,144.9145,Western Metropolitan,9264
4137,Essendon North,2/17 Bulla Rd,2,u,396000,S,Barry,3/9/2016,9.4,3041,2,1,1,0,56,1975,Moonee Valley City Council,-37.7428,144.9086,Western Metropolitan,1308
4138,Essendon North,3 Oshannassy St,3,h,1580000,S,Barry,4/6/2016,9.4,3041,3,2,2,758,,,Moonee Valley City Council,-37.7401,144.9013,Western Metropolitan,1308
4139,Essendon North,2/10 Oshannassy St,2,u,393000,S,Brad,6/8/2016,9.4,3041,2,1,1,999,,1970,Moonee Valley City Council,-37.7396,144.902,Western Metropolitan,1308
4140,Essendon North,4/17 Bulla Rd,1,u,260000,S,Brad,10/9/2016,9.4,3041,1,1,1,0,,,Moonee Valley City Council,-37.7428,144.9086,Western Metropolitan,1308
4141,Essendon North,11 Duffy St,3,h,1320000,S,Brad,14/05/2016,9.4,3041,3,1,1,766,,,Moonee Valley City Council,-37.7388,144.9006,Western Metropolitan,1308
4142,Essendon North,4/8 Keam St,2,u,450000,SP,Barry,14/05/2016,9.4,3041,2,1,1,88,59,1960,Moonee Valley City Council,-37.7389,144.8998,Western Metropolitan,1308
4144,Essendon North,64 Kerferd St,5,h,1360000,S,Nelson,18/03/2017,9.4,3041,5,3,2,463,196,1930,Moonee Valley City Council,-37.7379,144.9022,Western Metropolitan,1308
4145,Essendon North,1/48 Keilor Rd,2,u,340000,SP,Nelson,18/06/2016,9.4,3041,2,1,1,0,65,1960,Moonee Valley City Council,-37.7433,144.9074,Western Metropolitan,1308
4146,Essendon North,2/31 Greville St,3,u,765000,S,Nelson,19/11/2016,9.4,3041,3,2,1,0,134,2002,Moonee Valley City Council,-37.7364,144.8977,Western Metropolitan,1308
4147,Essendon North,21 Greville St,4,h,1605000,S,Barry,22/08/2016,9.4,3041,3,2,2,607,,1940,Moonee Valley City Council,-37.7371,144.8973,Western Metropolitan,1308
4148,Essendon North,2/26 Renown St,3,u,712000,S,Nelson,22/08/2016,9.4,3041,3,2,2,189,104,2009,Moonee Valley City Council,-37.7374,144.9006,Western Metropolitan,1308
4149,Essendon North,1 Dudley St,3,h,1425000,S,McGrath,25/02/2017,9.4,3041,3,2,2,10100,,,Moonee Valley City Council,-37.7376,144.8954,Western Metropolitan,1308
4150,Essendon North,2/40 Prince St,3,t,780000,VB,Brad,28/08/2016,9.4,3041,,,,,,,Moonee Valley City Council,,,Western Metropolitan,1308
4151,Fairfield,150 Gillies St,3,h,1250000,VB,Jellis,3/9/2016,5.8,3078,3,2,0,327,144,1910,Darebin City Council,-37.7723,145.0179,Northern Metropolitan,2970
4153,Fairfield,7 Rathmines St,3,h,1350000,PI,McGrath,3/12/2016,5.8,3078,3,1,2,309,110,2000,Darebin City Council,-37.7828,145.0154,Northern Metropolitan,2970
4155,Fairfield,197 Wingrove St,3,h,1125000,S,Jellis,4/6/2016,5.8,3078,2,1,2,530,,,Darebin City Council,-37.7788,145.0203,Northern Metropolitan,2970
4156,Fairfield,192 Gillies St,3,h,1064000,S,Jellis,6/8/2016,5.8,3078,3,1,1,235,,1900,Darebin City Council,-37.7698,145.0183,Northern Metropolitan,2970
4157,Fairfield,17 Langridge St,3,h,1330000,S,Barry,7/5/2016,5.8,3078,,,,,,,Darebin City Council,,,Northern Metropolitan,2970
4158,Fairfield,229 Rathmines St,2,h,1220000,S,Jellis,7/5/2016,5.8,3078,2,1,2,537,92,1950,Darebin City Council,-37.7689,145.0177,Northern Metropolitan,2970
4159,Fairfield,197 Station St,4,h,1160000,PI,Nelson,7/5/2016,5.8,3078,4,2,1,381,145,1890,Darebin City Council,-37.7735,145.0192,Northern Metropolitan,2970
4160,Fairfield,2/115 Gillies St,2,u,505000,PI,Nelson,7/11/2016,5.8,3078,2,1,1,0,70,1970,Darebin City Council,-37.7755,145.0178,Northern Metropolitan,2970
4162,Fairfield,20/262 Heidelberg Rd,2,u,602000,S,Jellis,7/11/2016,5.8,3078,2,1,1,0,77,2013,Darebin City Council,-37.7845,145.0105,Northern Metropolitan,2970
4163,Fairfield,3/260 Rathmines St,3,t,846000,SP,Love,8/10/2016,5.8,3078,3,1,1,185,107,1990,Darebin City Council,-37.7665,145.0175,Northern Metropolitan,2970
4165,Fairfield,7/223 Station St,2,u,400000,VB,Nelson,10/9/2016,5.8,3078,2,1,1,0,68,1970,Darebin City Council,-37.7719,145.0195,Northern Metropolitan,2970
4166,Fairfield,2/152 Gillies St,2,h,610000,S,Thomas,10/12/2016,5.8,3078,2,1,1,66,,,Darebin City Council,-37.7722,145.0178,Northern Metropolitan,2970
4167,Fairfield,7/59 Rathmines St,2,u,445000,S,Nelson,10/12/2016,5.8,3078,2,1,1,0,56,1970,Darebin City Council,-37.7782,145.0162,Northern Metropolitan,2970
4168,Fairfield,3/18 Gillies St,2,u,730000,S,Jellis,11/2/2017,5.8,3078,2,1,1,116,,1985,Darebin City Council,-37.7818,145.0161,Northern Metropolitan,2970
4170,Fairfield,88 Perry St,4,h,1730000,S,Jellis,15/10/2016,5.8,3078,4,2,2,490,226,2007,Darebin City Council,-37.7749,145.0242,Northern Metropolitan,2970
4171,Fairfield,4/28 Rushall St,2,u,438000,S,Harcourts,15/10/2016,5.8,3078,2,1,1,0,,,Darebin City Council,-37.7762,145.0213,Northern Metropolitan,2970
4173,Fairfield,208 Bastings St,3,h,955000,S,Jellis,17/09/2016,5.8,3078,,,,,,,Darebin City Council,,,Northern Metropolitan,2970
4174,Fairfield,125 Grange Rd,3,h,1700000,PI,Jellis,18/03/2017,5.8,3078,3,2,1,743,,,Darebin City Council,-37.7728,145.026,Northern Metropolitan,2970
4175,Fairfield,1/72 Rathmines St,2,u,510000,S,hockingstuart,18/03/2017,5.8,3078,2,1,1,1658,68,1970,Darebin City Council,-37.7781,145.0157,Northern Metropolitan,2970
4177,Fairfield,4/10 Station St,1,u,300000,VB,Raine,18/03/2017,5.8,3078,1,1,1,0,,,Darebin City Council,-37.7839,145.0171,Northern Metropolitan,2970
4178,Fairfield,139 Christmas St,3,h,750000,VB,Barry,18/06/2016,5.8,3078,3,2,1,170,,,Darebin City Council,-37.7674,145.0209,Northern Metropolitan,2970
4181,Fairfield,45 McGregor St,3,h,2350000,PI,Collins,18/06/2016,5.8,3078,3,2,4,735,,1950,Darebin City Council,-37.7706,145.0225,Northern Metropolitan,2970
4182,Fairfield,52 Rayment St,3,h,1350000,VB,Nelson,19/11/2016,5.8,3078,3,1,4,553,109,1930,Darebin City Council,-37.7728,145.0214,Northern Metropolitan,2970
4183,Fairfield,254 Rathmines St,4,h,2000000,VB,Nelson,22/05/2016,5.8,3078,4,3,2,575,280,2015,Darebin City Council,-37.7671,145.0176,Northern Metropolitan,2970
4184,Fairfield,100 Perry St,2,h,1010000,S,Nelson,22/08/2016,5.8,3078,2,1,1,285,,,Darebin City Council,-37.774,145.0244,Northern Metropolitan,2970
4185,Fairfield,231 Station St,3,h,1065000,S,Nelson,23/04/2016,5.8,3078,3,1,2,630,,1930,Darebin City Council,-37.7713,145.0196,Northern Metropolitan,2970
4186,Fairfield,4/224 Arthur St,2,t,805000,S,McGrath,24/09/2016,5.8,3078,2,1,1,140,2,2008,Darebin City Council,-37.7697,145.0203,Northern Metropolitan,2970
4189,Fairfield,225 Gillies St,3,h,1055000,S,Collins,27/06/2016,5.8,3078,3,1,2,382,140,1950,Darebin City Council,-37.7696,145.0188,Northern Metropolitan,2970
4190,Fairfield,15/262 Heidelberg Rd,2,u,548000,SP,Nelson,27/06/2016,5.8,3078,2,1,1,0,68,2014,Darebin City Council,-37.7845,145.0105,Northern Metropolitan,2970
4191,Fairfield,189 Rathmines St,3,h,1500000,S,McGrath,27/11/2016,5.8,3078,3,1,1,0,126,1910,Darebin City Council,-37.7714,145.0173,Northern Metropolitan,2970
4192,Fairfield,1/203 Station St,2,u,600000,VB,Jellis,27/11/2016,5.8,3078,2,1,2,0,75,1970,Darebin City Council,-37.7732,145.0193,Northern Metropolitan,2970
4193,Fairfield,48 Gordon St,3,h,1510000,S,Jellis,28/05/2016,5.8,3078,1,1,1,453,,,Darebin City Council,-37.7772,145.0232,Northern Metropolitan,2970
4195,Fairfield,103/57 Station St,2,u,699900,S,Barry,28/05/2016,5.8,3078,,,,,,,Darebin City Council,,,Northern Metropolitan,2970
4196,Fairfield,1/240 Arthur St,2,u,545000,SP,McGrath,28/08/2016,5.8,3078,2,1,1,0,77,2002,Darebin City Council,-37.7682,145.0209,Northern Metropolitan,2970
4197,Fairfield,250 Arthur St,3,h,1145000,S,McGrath,28/08/2016,5.8,3078,3,1,3,590,,,Darebin City Council,-37.7673,145.021,Northern Metropolitan,2970
4198,Fairfield,147 Gillies St,3,h,1375000,S,McGrath,28/08/2016,5.8,3078,3,1,1,496,122,1910,Darebin City Council,-37.7737,145.018,Northern Metropolitan,2970
4199,Fitzroy,111 Cecil St,2,h,1000000,S,Nelson,3/9/2016,1.6,3065,2,1,0,128,,,Yarra City Council,-37.7941,144.9802,Northern Metropolitan,5825
4200,Fitzroy,3/18 Hanover St,3,h,1252000,S,Nelson,3/9/2016,1.6,3065,3,2,2,0,137,2004,Yarra City Council,-37.8029,144.975,Northern Metropolitan,5825
4203,Fitzroy,4/113 Cecil St,2,u,810000,S,Jellis,6/8/2016,1.6,3065,2,1,2,0,71,1965,Yarra City Council,-37.7941,144.9802,Northern Metropolitan,5825
4204,Fitzroy,502/69 Victoria St,2,u,692000,S,Nelson,7/5/2016,1.6,3065,2,1,1,0,,,Yarra City Council,-37.7988,144.9772,Northern Metropolitan,5825
4206,Fitzroy,127 George St,4,h,1780000,S,Peter,7/11/2016,1.6,3065,4,1,1,186,,1902,Yarra City Council,-37.8048,144.9806,Northern Metropolitan,5825
4207,Fitzroy,199 Moor St,1,h,947500,S,Nelson,7/11/2016,1.6,3065,1,1,0,87,66,1980,Yarra City Council,-37.8019,144.9821,Northern Metropolitan,5825
4211,Fitzroy,291 George St,2,h,1460000,PI,Nelson,12/11/2016,1.6,3065,2,1,0,0,105,1890,Yarra City Council,-37.8006,144.9814,Northern Metropolitan,5825
4212,Fitzroy,1/59 Leicester St,3,t,1520000,S,Jellis,12/11/2016,1.6,3065,3,2,2,0,,,Yarra City Council,-37.7951,144.9776,Northern Metropolitan,5825
4213,Fitzroy,7/56 Leicester St,2,t,880000,S,Nelson,13/08/2016,1.6,3065,2,2,2,0,105,2000,Yarra City Council,-37.7953,144.9775,Northern Metropolitan,5825
4214,Fitzroy,52 Nicholson St,4,h,3310000,S,Caine,13/08/2016,1.6,3065,4,4,2,337,291,1854,Yarra City Council,-37.8052,144.9739,Northern Metropolitan,5825
4215,Fitzroy,124 Westgarth St,3,h,1481000,S,Jellis,13/08/2016,1.6,3065,3,2,1,138,,1900,Yarra City Council,-37.795,144.9806,Northern Metropolitan,5825
4216,Fitzroy,258 Napier St,3,h,2200000,VB,Nelson,16/04/2016,1.6,3065,3,2,1,187,,,Yarra City Council,-37.8003,144.9806,Northern Metropolitan,5825
4218,Fitzroy,9/144 George St,2,u,1000000,PI,Nelson,17/09/2016,1.6,3065,,,,,,,Yarra City Council,,,Northern Metropolitan,5825
4219,Fitzroy,431 George St,3,h,1250000,PI,Nelson,17/09/2016,1.6,3065,3,1,1,113,105,1890,Yarra City Council,-37.7966,144.9821,Northern Metropolitan,5825
4220,Fitzroy,190 Gore St,2,h,1440000,S,Nelson,17/09/2016,1.6,3065,3,1,0,95,,,Yarra City Council,-37.8032,144.9825,Northern Metropolitan,5825
4222,Fitzroy,20 Westgarth St,2,h,1315000,S,Jellis,18/03/2017,1.6,3065,2,1,0,141,,,Yarra City Council,-37.7946,144.9765,Northern Metropolitan,5825
4223,Fitzroy,31 Bell St,4,h,1950000,S,Nelson,18/06/2016,1.6,3065,4,1,0,177,152,1890,Yarra City Council,-37.7999,144.9759,Northern Metropolitan,5825
4224,Fitzroy,5/113 Cecil St,1,u,597000,S,Harrington,18/06/2016,1.6,3065,1,1,1,0,,2000,Yarra City Council,-37.7941,144.9802,Northern Metropolitan,5825
4225,Fitzroy,2/41 Kerr St,2,h,850000,VB,Nelson,18/06/2016,1.6,3065,,,,,,,Yarra City Council,,,Northern Metropolitan,5825
4226,Fitzroy,24/26 Victoria St,2,u,650000,S,Nelson,18/06/2016,1.6,3065,2,1,1,0,,,Yarra City Council,-37.799,144.9756,Northern Metropolitan,5825
4228,Fitzroy,113/300 Young St,1,u,465000,SP,Jellis,19/11/2016,1.6,3065,1,1,1,0,52,2011,Yarra City Council,-37.7974,144.9799,Northern Metropolitan,5825
4229,Fitzroy,60 Bell St,4,h,1620000,S,Nelson,22/05/2016,1.6,3065,3,2,1,132,165,1880,Yarra City Council,-37.8004,144.9768,Northern Metropolitan,5825
4231,Fitzroy,47 Charles St,3,h,1600000,S,Nelson,22/05/2016,1.6,3065,3,2,1,261,,,Yarra City Council,-37.803,144.9806,Northern Metropolitan,5825
4232,Fitzroy,10/5 St David St,3,u,850000,VB,Nelson,22/05/2016,1.6,3065,3,2,1,2782,115,2000,Yarra City Council,-37.8005,144.9787,Northern Metropolitan,5825
4233,Fitzroy,309/416 Gore St,2,u,790000,S,Nelson,22/08/2016,1.6,3065,2,1,1,0,,,Yarra City Council,-37.7967,144.9836,Northern Metropolitan,5825
4234,Fitzroy,84 Kerr St,2,h,1122000,S,Nelson,22/08/2016,1.6,3065,2,1,0,106,101,1890,Yarra City Council,-37.7968,144.9781,Northern Metropolitan,5825
4236,Fitzroy,306/96 charles St,2,u,660000,SP,hockingstuart,23/04/2016,1.6,3065,2,2,0,0,,,Yarra City Council,-37.8035,144.9826,Northern Metropolitan,5825
4237,Fitzroy,107 Cecil St,2,h,1300000,S,Nelson,24/09/2016,1.6,3065,2,1,1,157,110,1900,Yarra City Council,-37.7941,144.98,Northern Metropolitan,5825
4239,Fitzroy,2/23 George St,1,u,308000,SP,Peter,25/02/2017,1.6,3065,,,,,,,Yarra City Council,,,Northern Metropolitan,5825
4240,Fitzroy,8/98 George St,1,u,420000,S,Caine,25/02/2017,1.6,3065,1,1,1,782,42,1975,Yarra City Council,-37.8055,144.9809,Northern Metropolitan,5825
4241,Fitzroy,101/416 Gore St,2,u,715000,S,Nelson,26/07/2016,1.6,3065,2,1,1,0,74,1900,Yarra City Council,-37.7967,144.9836,Northern Metropolitan,5825
4243,Fitzroy,206/424 Gore St,1,u,458000,S,hockingstuart,27/06/2016,1.6,3065,1,1,1,0,62,,Yarra City Council,-37.7964,144.9839,Northern Metropolitan,5825
4244,Fitzroy,116 Leicester St,2,h,800000,VB,Harrington,27/06/2016,1.6,3065,2,2,1,64,138,1995,Yarra City Council,-37.7956,144.9804,Northern Metropolitan,5825
4245,Fitzroy,9/56 Leicester St,2,t,710000,S,Jellis,27/06/2016,1.6,3065,2,1,1,0,90,2002,Yarra City Council,-37.7953,144.9775,Northern Metropolitan,5825
4246,Fitzroy,6/226 Moor St,2,u,630000,VB,hockingstuart,27/06/2016,1.6,3065,2,1,1,0,70,2007,Yarra City Council,-37.8024,144.9835,Northern Metropolitan,5825
4247,Fitzroy,17 Bell St,4,h,4011000,S,Nelson,27/11/2016,1.6,3065,4,3,2,286,275,1890,Yarra City Council,-37.7999,144.9755,Northern Metropolitan,5825
4248,Fitzroy,11 Henry St,2,h,677000,S,Chambers,27/11/2016,1.6,3065,2,1,0,67,,1850,Yarra City Council,-37.7969,144.9759,Northern Metropolitan,5825
4251,Fitzroy North,233/4 Bik La,2,u,700000,SP,Woodards,3/9/2016,3.5,3068,2,2,1,4332,85,2010,Moreland City Council,-37.7846,144.9785,Northern Metropolitan,6244
4252,Fitzroy North,470 Brunswick St,2,h,860000,S,Woodards,3/9/2016,3.5,3068,2,1,0,104,70,1880,Moreland City Council,-37.7927,144.9796,Northern Metropolitan,6244
4253,Fitzroy North,50 Freeman St,2,h,870000,S,Nelson,3/9/2016,3.5,3068,2,1,0,107,64,1910,Moreland City Council,-37.7898,144.9794,Northern Metropolitan,6244
4254,Fitzroy North,76 Newry St,2,h,1116000,S,Nelson,3/9/2016,3.5,3068,3,1,0,152,,,Moreland City Council,-37.791,144.9809,Northern Metropolitan,6244
4255,Fitzroy North,2 Pilkington St,4,h,1450000,VB,Nelson,3/9/2016,3.5,3068,4,2,1,266,175,1950,Moreland City Council,-37.7797,144.9861,Northern Metropolitan,6244
4256,Fitzroy North,186 Queens Pde,2,t,930000,S,Nelson,3/9/2016,3.5,3068,2,3,0,2778,3558,,Moreland City Council,-37.7903,144.9859,Northern Metropolitan,6244
4257,Fitzroy North,2/148 Barkly St,3,h,1110000,SP,Nelson,4/3/2017,3.5,3068,,,,,,,Moreland City Council,,,Northern Metropolitan,6244
4258,Fitzroy North,129/4 Bik La,2,u,700000,SP,Collins,4/3/2017,3.5,3068,2,2,2,4296,,2011,Moreland City Council,-37.7846,144.9785,Northern Metropolitan,6244
4259,Fitzroy North,276 McKean St,3,h,2170000,S,Nelson,4/3/2017,3.5,3068,3,2,1,177,,,Moreland City Council,-37.7851,144.9934,Northern Metropolitan,6244
4261,Fitzroy North,7/14 Rae St,1,u,358500,SP,Jellis,4/3/2017,3.5,3068,1,1,1,0,40,1975,Moreland City Council,-37.7925,144.9786,Northern Metropolitan,6244
4262,Fitzroy North,24 Taylor St,3,h,1000000,VB,Nelson,4/3/2017,3.5,3068,3,1,0,249,,,Moreland City Council,-37.7754,144.9806,Northern Metropolitan,6244
4263,Fitzroy North,51 Rae St,2,h,770000,SA,Nicholson,4/6/2016,3.5,3068,2,2,1,134,151,1905,Moreland City Council,-37.7916,144.9784,Northern Metropolitan,6244
4265,Fitzroy North,92 Scotchmer St,2,h,1008000,S,LITTLE,6/8/2016,3.5,3068,2,1,1,150,77,1890,Moreland City Council,-37.7833,144.9819,Northern Metropolitan,6244
